name,address,lat,long
The White House,"1600 Pennsylvania Ave NW, Washington, DC",38.898690918656,-77.036543957308
The Andrew Young School of Policy Studies,"55 Park Place SE, Atlanta, GA 30303",33.75602307896,-84.387617072433
